2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: repl() | caret ^2.0.0 ^2.0.0 2 0 0 None
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: repl() | caret return >=2.0.0 <3.0.0
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: parse_comparator() | caret >=2.0.0 <3.0.0
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: parse_comparator() | tildes >=2.0.0 <3.0.0
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: replace_xranges() | replaceXRanges >=2.0.0 <3.0.0 False
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: repl() | xrange >=2.0.0 >=2.0.0 >= 2 0 0 None
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=>= any_x=False
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: repl() | xRange return >=2.0.0
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: repl() | xrange <3.0.0 <3.0.0 < 3 0 0 None
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=< any_x=False
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: repl() | xRange return <3.0.0
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: parse_comparator() | xrange >=2.0.0 <3.0.0
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: replace_stars() | replaceStars >=2.0.0 <3.0.0 False
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: parse_comparator() | stars >=2.0.0 <3.0.0
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: __init__() | comparator: >=2.0.0 False
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: parse() | parse comp=>=2.0.0
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: __init__() | comparator: <3.0.0 False
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: parse() | parse comp=<3.0.0
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 3.0.0, False
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: format() | Range format >=2.0.0 <3.0.0
2021-06-01 14:55:50,916 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2021-06-01 14:55:50,917 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2021-06-01 14:55:50,917 | DEBUG | ulauncher.utils.semver: cmp() | cmp: >=
2021-06-01 14:55:50,917 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 2.0.0
2021-06-01 14:55:50,917 | DEBUG | ulauncher.utils.semver: compare() | compare result 0
2021-06-01 14:55:50,917 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2021-06-01 14:55:50,917 | DEBUG | ulauncher.utils.semver: cmp() | cmp: <
2021-06-01 14:55:50,917 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 3.0.0
2021-06-01 14:55:50,917 | DEBUG | ulauncher.utils.semver: compare() | compare result -1
2021-06-01 14:55:50,919 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.rkarami.ulauncher-gitmoji" started. PID 2150
2021-06-01 14:55:50,920 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.ulauncher.ulauncher-kill" started. PID 2152
2021-06-01 14:55:50,934 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 95 apps in cache
2021-06-01 14:55:50,935 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/franck/.local/share/applications/userapp-Pale Moon.desktop": constructor returned NULL
2021-06-01 14:55:50,935 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/franck/.local/share/applications/userapp-Thunderbird.desktop": constructor returned NULL
2021-06-01 14:55:50,941 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.kded5.desktop": constructor returned NULL
2021-06-01 14:55:50,949 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 95 apps in the system
2021-06-01 14:55:50,949 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.05 seconds
2021-06-01 14:55:50,958 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
2021-06-01 14:55:50,962 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Super>space
2021-06-01 14:55:51,077 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.ulauncher.ulauncher-emoji" connected
2021-06-01 14:55:51,077 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.ulauncher.ulauncher-emoji"
2021-06-01 14:55:51,079 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.ulauncher.ulauncher-kill" connected
2021-06-01 14:55:51,079 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.ulauncher.ulauncher-kill"
2021-06-01 14:55:51,084 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.rkarami.ulauncher-gitmoji" connected
2021-06-01 14:55:51,084 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.rkarami.ulauncher-gitmoji"
2021-06-01 14:55:56,295 | WARNING | ulauncher.utils.image_loader: load_image() | Could not load image /usr/share/icons/Humanity/devices/48/printer.svg. E: g-file-error-quark: Failed to open file “/usr/share/icons/Humanity/devices/48/printer.svg”: No such file or directory (4)
2021-06-01 14:55:56,343 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2021-06-01 14:55:56,441 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-06-01 14:55:56,610 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-06-01 14:55:56,774 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-06-01 14:55:56,900 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-06-01 14:55:57,212 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Molotov (/usr/share/applications/appimagekit-molotov.desktop)
2021-06-01 14:55:57,227 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-06-01 14:56:25,076 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-06-01 14:56:25,077 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 4096, H: 2160
2021-06-01 14:56:25,080 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-06-01 14:56:25,080 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 4096, H: 2160
2021-06-01 14:56:25,093 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-06-01 14:56:25,744 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-06-01 14:56:25,920 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 8 results
2021-06-01 14:56:26,024 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-06-01 14:56:26,153 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2021-06-01 14:56:26,411 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Code - OSS (/usr/share/applications/code-oss.desktop)
2021-06-01 14:56:26,426 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-06-01 14:56:58,246 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-06-01 14:56:58,246 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 4096, H: 2160
2021-06-01 14:56:58,247 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-06-01 14:56:58,247 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 4096, H: 2160
2021-06-01 14:56:58,257 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-06-01 14:56:58,493 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-06-01 14:56:58,690 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-06-01 14:56:58,842 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2021-06-01 14:56:59,154 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Add/Remove Software (/usr/share/applications/org.manjaro.pamac.manager.desktop)
2021-06-01 14:56:59,162 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-06-01 14:57:24,334 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-06-01 14:57:24,334 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 4096, H: 2160
2021-06-01 14:57:24,335 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-06-01 14:57:24,335 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 4096, H: 2160
2021-06-01 14:57:24,342 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-06-01 14:57:24,622 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
2021-06-01 14:57:24,963 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-06-01 14:57:25,065 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-06-01 14:57:25,199 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2021-06-01 14:57:25,603 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Firefox (/usr/share/applications/firefox.desktop)
2021-06-01 14:57:25,611 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-06-01 14:57:49,081 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "Electron" (/usr/share/applications/electron.desktop)
2021-06-01 14:57:49,082 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "BalenaEtcher" (/usr/share/applications/balena-etcher-electron.desktop)
2021-06-01 14:58:49,841 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-06-01 14:58:49,841 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 4096, H: 2160
2021-06-01 14:58:49,841 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-06-01 14:58:49,841 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 4096, H: 2160
2021-06-01 14:58:49,853 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-06-01 14:58:50,144 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
